,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
0,158.04,-5.574,89.911,0.169,4.0,1.0,2.0,0.296,1.0,0.484
1,149.52,-7.399,99.947,0.272,4.0,1.0,11.0,0.483,0.0,0.508
2,189.48658,-5.239,93.023,0.031,4.0,0.989,9.0,0.096,1.0,0.258
3,180.52204,-6.365,86.003,0.056,4.0,0.947,4.0,0.54,0.0,0.523
4,268.43429,-7.985,115.007,0.44,4.0,0.676,0.0,0.565,0.0,0.751
5,145.54254,-6.977,112.502,0.756,4.0,1.0,1.0,0.276,0.0,0.47
6,288.62417,-7.643,145.972,0.459,4.0,0.952,1.0,0.21,1.0,0.409
7,312.82041,-3.714,155.008,0.256,4.0,0.932,8.0,0.411,1.0,0.476
8,201.66068,-7.05,136.041,0.726,4.0,1.0,6.0,0.562,1.0,0.585
9,129.26404,-12.89,104.025,0.725,4.0,1.0,10.0,0.202,0.0,0.59
10,214.28957,-2.749,100.015,0.265,4.0,0.986,5.0,0.567,1.0,0.587
